Order,Species,CommonName,,Variety (if known),Fused,Attempts,GraftingRate,DAG,
Acorales,Acorus calamus,Sweet flag,27-Dec-19,Unknown,13,56,23.21,,
Acorales,Acorus calamus,Sweet flag,15-Dec-20,Unknown,20,49,40.82,14,
Acorales,Acorus calamus,Sweet flag,15-Dec-20,Unknown,6,16,37.50,20,
Alismatales,Arisaema tortuosum,Whipcord cobra lily,27-Dec-19,Unknown,5,8,62.50,12,
Alismatales,Arisaema tortuosum,Whipcord cobra lily,27-Dec-19,Unknown,7,9,77.78,12,
Areceales,Elaeis guineensis,Oil palm,,Tenera,2,6,33.33,,
Areceales,Elaeis oleifera,American oil palm,,Unknown,5,15,33.33,,
Areceales,Phoenix dactylifera ,Date palm,,Unknown,6,45,13.33,,
Asparagales,Agave tequilana,Tequila agave,,Weber Azul,4,14,28.57,,
Asparagales,Allium ampeloprasum,Leek,17-Dec-19,Autumn Mammoth 2,16,68,23.53,14,
Asparagales,Allium ampeloprasum,Leek,17-Dec-19,Autumn Mammoth 2,1,10,10.00,21,
Asparagales,Allium ampeloprasum,Leek,17-Dec-19,Autumn Mammoth 2,31,55,56.36,21,
Asparagales,Allium cepa,Onion,,White Lisbon,12,69,17.39,,
Asparagales,Allium schoenoprasum,Chive,,Unknown,31,55,56.36,,
Asparagales,Beaucarnea recurvata,Ponytail palm,04-Jan-21,Unknown,3,23,13.04,18,
Asparagales,Beaucarnea recurvata,Ponytail palm,14-Jan-21,Unknown,5,8,62.50,27,
Asparagales,Phormium tenax,New Zealand flax,15-Dec-20,Unknown,1,3,33.33,19,
Asparagales,Phormium tenax,New Zealand flax,16-Dec-20,Unknown,2,5,40.00,19,
Asparagales,Yucca brevifolia,Joshua tree,21-Dec-20,Unknown,16,29,55.17,18,
Asparagales,Yucca brevifolia,Joshua tree,21-Dec-20,Unknown,4,40,10.00,14,
Commelinales,Commelina comminis,Asiatic dayflower,17-Dec-19,Unknown,17,34,50.00,14,
Commelinales,Commelina comminis,Asiatic dayflower,17-Dec-19,Unknown,1,6,16.67,14,
Commelinales,Pollia japonica,East Asia pollia,,Unknown,2,15,13.33,,
Commelinales,Pollia thysiflora,Pearl plant,17-Dec-19,Unknown,2,16,12.50,14,
Dioscoreales,Dioscorea elephantipes,Elephant's foot,20-Dec-19,Unknown,12,32,37.50,17,
Dioscoreales,Dioscorea elephantipes,Elephant's foot,27-Dec-19,Unknown,4,7,57.14,12,
Dioscoreales,Tacca leontopetaloides,Polynesian arrowroot,21-Jan-21,Unknown,1,7,14.29,41,
Liliales,Gloriosa superba,Flame lily,28-Oct-20,Unknown,12,30,40.00,,
Liliales,Bomarea multiflora,Trailing lily,18-Nov-20,Unknown,2,6,33.33,12,
Poales,Avena sativa,Oat,01-Aug-19,Canyon,9,22,40.91,14,
Poales,Avena sativa,Oat,21-Aug-19,Canyon,6,21,28.57,7,
Poales,Avena sativa,Oat,22-Oct-19,Canyon,19,38,50.00,5,
Poales,Avena sativa,Oat,11-Dec-19,Canyon,11,24,45.83,5,
Poales,Oryza sativa,Rice,07-Aug-19,Shiokari,6,18,33.33,9,
Poales,Oryza sativa,Rice,07-Aug-19,d10(Shiokari mutant),10,37,27.03,9,
Poales,Oryza sativa,Rice,21-Aug-19,Shiokari,11,25,44.00,7,
Poales,Oryza sativa,Rice,21-Aug-19,d10(Shiokari mutant),14,28,50.00,7,
Poales,Oryza sativa,Rice,10-Jul-19,Nipponbare,64,120,53.33,,
Poales,Oryza sativa,Rice,,Nipponbare,13,20,65.00,7,
Poales,Oryza sativa,Rice,,Nipponbare,10,20,50.00,7,
Poales,Oryza sativa,Rice,,Nipponbare,11,20,55.00,7,
Poales,Oryza sativa,Rice,,Nipponbare,9,20,45.00,7,
Poales,Oryza sativa,Rice,,Nipponbare,9,20,45.00,7,
Poales,Oryza sativa,Rice,,Nipponbare,12,20,60.00,7,
Poales,Pennisetum glaucum,Pearl Millet,,Tift23,69,140,49.29,,
Poales,Phyllostachys edulis,Moso bamboo,17-Dec-19,Unknown,4,10,40.00,14,
Poales,Puya alpestris,Sapphire Tower Bromeliad,18-Nov-20,Unknown,13,34,38.24,7,
Poales,Puya raimondii,"Queen of the Andes, Giant Bromeliad",,Unknown,2,12,16.67,,
Poales,Secale cereale,Rye,13-Dec-19,Unknown,3,8,37.50,7,
Poales,Sorghum bicolor,Sorghum,18-Jul-19,Bx62,1,5,20.00,7,
Poales,Sorghum bicolor,Sorghum,13-Dec-19,Bx62,9,17,52.94,7,
Poales,Triticum aestivum,Bread Wheat,22-Oct-19,Fielder,25,34,73.53,5,
Poales,Triticum aestivum,Bread Wheat,11-Dec-19,Fielder,17,20,85.00,5,
Poales,Triticum aestivum,Bread Wheat,21-Aug-19,Fielder,20,24,83.33,7,
Poales,Triticum durum,Pasta wheat,17-Jul-19,NAX1,17,40,42.50,12,
Poales,Triticum durum,Pasta wheat,25-Jul-18,NAX1,14,22,63.64,,
Poales,Triticum durum,Pasta wheat,25-Jul-18,Tamaroi,9,13,69.23,,
Poales,Triticum durum,Pasta wheat,01-Aug-19,Tamaroi,11,25,44.00,14,
Poales,Triticum durum,Pasta wheat,01-Aug-19,NAX1,18,21,85.71,14,
Poales,Zea mays,Maize,,B73,5,15,33.33,7,
Poales,Ananas comosus,Pineapple,,Unknown,2,8,25.00,60,
Poales,Zea mays,Maize,,B73,7,15,46.67,7,
Zingiberales,Amomum sublatum,Black cardamom,,Unknown,3,21,14.29,,
Zingiberales,Canna indica,Canna lily/Indian arrowroot,,Unknown,5,14,35.71,14,
Zingiberales,Costus laevis,Sprial ginger,01-Feb-21,Unknown,8,20,40.00,30,
Zingiberales,Musa acuminata,Banana,22-Aug-17,Unknown,2,20,10.00,,
Zingiberales,Musa acuminata,Banana,22-Aug-17,Unknown,4,4,100.00,,
Zingiberales,Musa balbisiana,Plantain,17-Jul-17,Unknown,2,20,10.00,,
Zingiberales,Musa balbisiana,Plantain,17-Jul-17,Unknown,2,5,40.00,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,1756,,,