id,DaysOld,Graft,Plant,Tiller,Ligule,Leaf
1,8,Mu-Mu,1,2,9.3,28.7
1,14,Mu-Mu,1,5,10.9,31.7
1,36,Mu-Mu,1,16,22.7,61.6
1,43,Mu-Mu,1,20,24.3,66.1
1,55,Mu-Mu,1,34,35.8,62.3
2,8,Mu-Mu,2,3,8.5,25.4
2,14,Mu-Mu,2,7,10.6,29.7
2,36,Mu-Mu,2,28,17.8,57.6
2,43,Mu-Mu,2,30,20.4,60.6
2,55,Mu-Mu,2,34,30,62.3
3,8,Mu-Mu,3,2,8,26.3
3,14,Mu-Mu,3,5,11.1,33.5
3,36,Mu-Mu,3,19,18.4,56.8
3,43,Mu-Mu,3,21,22.8,59.5
3,55,Mu-Mu,3,28,31.8,59.4
4,8,Mu-Mu,5,4,9,27.9
4,14,Mu-Mu,5,4,10.2,31.4
4,36,Mu-Mu,5,13,15.4,41.9
4,43,Mu-Mu,5,16,15.4,42
4,55,Mu-Mu,5,18,19.5,46
5,8,Mu-Mu,6,2,7.9,25.2
5,14,Mu-Mu,6,4,8,26.1
5,36,Mu-Mu,6,8,15.4,44.1
5,43,Mu-Mu,6,10,17.5,50
5,55,Mu-Mu,6,15,21.5,55
6,8,Mu-Mu,7,3,9.8,32.1
6,14,Mu-Mu,7,4,10.7,34.4
6,36,Mu-Mu,7,14,18.6,50.3
6,43,Mu-Mu,7,14,20.3,49.3
6,55,Mu-Mu,7,19,20.3,49.3
7,8,Mu-Mu,8,2,8.9,27.7
7,14,Mu-Mu,8,4,11.4,32.5
7,36,Mu-Mu,8,13,17.5,47.4
7,43,Mu-Mu,8,17,18.5,50.2
7,55,Mu-Mu,8,22,25.7,53.3
8,8,Mu-Mu,9,4,7.8,23
8,14,Mu-Mu,9,4,7.8,23.4
8,36,Mu-Mu,9,10,14.3,42.1
8,43,Mu-Mu,9,13,17.5,45.7
8,55,Mu-Mu,9,17,20.6,50.6
9,8,Wt-Mu,1,1,4.7,14.5
9,14,Wt-Mu,1,1,8.4,19.4
9,36,Wt-Mu,1,3,22.8,62.3
9,43,Wt-Mu,1,3,28.1,77
9,55,Wt-Mu,1,5,51.5,79
10,8,Wt-Mu,2,1,5.8,18.5
10,14,Wt-Mu,2,2,8,27.1
10,36,Wt-Mu,2,4,25.3,65
10,43,Wt-Mu,2,5,31.6,72.9
10,55,Wt-Mu,2,7,55,89.1
11,8,Wt-Mu,3,1,4.5,15.1
11,14,Wt-Mu,3,2,8.2,24.4
11,36,Wt-Mu,3,4,23.3,58.2
11,43,Wt-Mu,3,4,37.5,88.6
11,55,Wt-Mu,3,5,56.4,92.7
12,8,Wt-Mu,5,1,11.5,35.3
12,14,Wt-Mu,5,1,18,45.1
12,36,Wt-Mu,5,3,36.2,89
12,43,Wt-Mu,5,3,44.9,89.2
12,55,Wt-Mu,5,5,49.4,89.2
13,8,Wt-Mu,6,1,9.7,30.8
13,14,Wt-Mu,6,1,11.8,36.6
13,36,Wt-Mu,6,4,36.9,70.9
13,43,Wt-Mu,6,4,46.5,80.5
13,55,Wt-Mu,6,4,47.4,81
14,8,Wt-Mu,7,1,10.8,32.4
14,14,Wt-Mu,7,1,12.8,38.1
14,36,Wt-Mu,7,3,31.1,76.7
14,43,Wt-Mu,7,3,39.3,81.2
14,55,Wt-Mu,7,3,47,81.4
15,8,Wt-Mu,8,1,8.6,29.6
15,14,Wt-Mu,8,1,12.1,33.1
15,36,Wt-Mu,8,3,27.8,79.5
15,43,Wt-Mu,8,3,39.7,86.7
15,55,Wt-Mu,8,5,54.6,92.2
16,8,Wt-Mu,9,1,8.6,30.3
16,14,Wt-Mu,9,1,12.8,36.9
16,36,Wt-Mu,9,3,24.9,70.1
16,43,Wt-Mu,9,3,28.2,70.2
16,55,Wt-Mu,9,3,38,70.2
17,8,Wt-Wt,1,1,11,28.4
17,14,Wt-Wt,1,1,13.2,34.2
17,36,Wt-Wt,1,3,37.3,79
17,43,Wt-Wt,1,3,54,79.6
17,55,Wt-Wt,1,6,53.9,75.6
18,8,Wt-Wt,2,1,9.8,28.8
18,14,Wt-Wt,2,1,10.5,32.4
18,36,Wt-Wt,2,4,39.4,89.8
18,43,Wt-Wt,2,4,47.1,103
18,55,Wt-Wt,2,4,64,108
19,8,Wt-Wt,3,1,8.4,24.1
19,14,Wt-Wt,3,1,11.9,35.5
19,36,Wt-Wt,3,6,24.1,62.6
19,43,Wt-Wt,3,6,31.8,68.1
19,55,Wt-Wt,3,7,51.1,90
20,8,Wt-Wt,5,1,8.6,26.4
20,14,Wt-Wt,5,1,11.4,30.4
20,36,Wt-Wt,5,1,17,53.6
20,43,Wt-Wt,5,1,18.6,56.6
20,55,Wt-Wt,5,1,29.4,58.2
21,8,Wt-Wt,6,1,8,27.3
21,14,Wt-Wt,6,1,11.5,33.2
21,36,Wt-Wt,6,3,28.3,80.9
21,43,Wt-Wt,6,3,37.3,87.2
21,55,Wt-Wt,6,3,51.7,91.3
22,8,Wt-Wt,7,1,9.1,31.1
22,14,Wt-Wt,7,1,12,37.1
22,36,Wt-Wt,7,4,30.6,78.8
22,43,Wt-Wt,7,4,36.3,81.7
22,55,Wt-Wt,7,4,51.3,86.4
23,8,Wt-Wt,8,1,8.7,27.9
23,14,Wt-Wt,8,1,12.8,35.7
23,36,Wt-Wt,8,3,27.6,80.3
23,43,Wt-Wt,8,3,35.9,86.3
23,55,Wt-Wt,8,3,43.7,87.6
24,8,Wt-Wt,9,1,9.8,31
24,14,Wt-Wt,9,1,10.9,38.4
24,36,Wt-Wt,9,5,31.3,75.5
24,43,Wt-Wt,9,5,34.9,75.6
24,55,Wt-Wt,9,5,51.9,80